order,group,lb,cap,lmax,dpm,method,nodes,seconds,witness
284,C4+C71,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (0,4) (0,8) (0,16) (0,32) (0,64) (0,57)"
284,C2+C2+C71,8,8,8,9,pinned,0,0.00,"(1,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (0,0,64) (0,1,0)"
285,C3+C5+C19,8,8,8,9,pinned,0,0.00,"(1,1,1) (2,2,2) (1,4,4) (2,3,8) (1,1,16) (2,2,13) (1,4,7) (2,3,14)"
286,C2+C11+C13,8,8,8,9,pinned,0,0.00,"(1,1,1) (0,2,2) (0,4,4) (0,8,8) (0,5,3) (0,10,6) (0,9,12) (0,7,11)"
287,C7+C41,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (1,8) (2,16) (4,32) (1,23) (2,5)"
288,C9+C32,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (7,16) (5,0) (1,0) (2,0)"
288,C3+C3+C32,7,8,8,9,search,11753,0.01,"(0,0,1) (0,0,2) (0,0,4) (0,0,8) (0,1,16) (1,0,16) (1,1,16) (1,2,16)"
288,C2+C9+C16,8,8,8,9,pinned,0,0.00,"(0,1,1) (0,2,2) (0,4,4) (0,8,8) (0,7,0) (0,5,0) (0,1,0) (1,0,0)"
288,C2+C3+C3+C16,7,8,8,9,search,209617,0.13,"(0,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8) (1,0,1,0) (1,1,0,0) (1,1,1,0) (1,1,2,0)"
288,C4+C8+C9,8,8,8,9,pinned,0,0.00,"(0,1,1) (0,2,2) (0,4,4) (0,0,8) (0,0,7) (0,0,5) (1,0,0) (2,0,0)"
288,C3+C3+C4+C8,7,8,8,9,search,64173,0.05,"(0,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,1,0) (0,1,2,0) (1,0,2,0) (1,1,2,0) (1,2,2,0)"
288,C2+C2+C8+C9,8,8,8,9,pinned,0,0.00,"(0,0,1,1) (0,0,2,2) (0,0,4,4) (0,0,0,8) (0,0,0,7) (0,0,0,5) (1,0,0,0) (0,1,0,0)"
288,C2+C2+C3+C3+C8,7,8,8,9,search,4470029,2.45,"(0,0,0,0,1) (0,0,0,0,2) (0,0,0,0,4) (0,1,0,0,0) (1,0,0,1,0) (1,0,1,0,0) (1,0,1,1,0) (1,0,1,2,0)"
288,C2+C4+C4+C9,8,8,8,9,pinned,0,0.00,"(0,1,0,1) (0,2,0,2) (0,0,0,4) (0,0,0,8) (0,0,0,7) (0,0,1,0) (0,0,2,0) (1,0,0,0)"
288,C2+C3+C3+C4+C4,7,8,8,9,search,215890,0.14,"(0,0,0,0,1) (0,0,0,0,2) (0,0,0,1,0) (0,0,0,2,0) (1,0,1,0,0) (1,1,0,0,0) (1,1,1,0,0) (1,1,2,0,0)"
288,C2+C2+C2+C4+C9,8,8,8,9,pinned,0,0.00,"(0,0,0,1,1) (0,0,0,2,2) (0,0,0,0,4) (0,0,0,0,8) (0,0,0,0,7) (1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0)"
288,C2+C2+C2+C3+C3+C4,7,8,8,9,search,83313547,38.69,"(0,0,0,0,0,1) (0,0,0,0,0,2) (0,0,1,0,0,0) (0,1,0,0,0,0) (1,0,0,0,1,0) (1,0,0,1,0,0) (1,0,0,1,1,0) (1,0,0,1,2,0)"
288,C2+C2+C2+C2+C2+C9,8,8,8,9,pinned,0,0.01,"(1,0,0,0,0,1) (0,0,0,0,0,2) (0,0,0,0,0,4) (0,0,0,0,0,8) (0,1,0,0,0,0) (0,0,1,0,0,0) (0,0,0,1,0,0) (0,0,0,0,1,0)"
288,C2+C2+C2+C2+C2+C3+C3,7,8,TIMEOUT,,search,,>600,
289,C289,8,8,8,9,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,) (128,)"
289,C17+C17,8,8,8,9,pinned,0,0.00,"(1,0) (2,0) (4,0) (8,0) (0,1) (0,2) (0,4) (0,8)"
290,C2+C5+C29,8,8,8,9,pinned,0,0.00,"(1,1,1) (0,2,2) (0,4,4) (0,3,8) (0,1,16) (0,2,3) (0,4,6) (0,3,12)"
291,C3+C97,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,8) (1,16) (2,32) (1,64) (2,31)"
292,C4+C73,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (0,4) (0,8) (0,16) (0,32) (0,64) (0,55)"
292,C2+C2+C73,8,8,8,9,pinned,0,0.01,"(1,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (0,0,64) (0,1,0)"
293,C293,8,8,8,9,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,) (128,)"
294,C2+C3+C49,8,8,8,9,pinned,0,0.00,"(1,1,1) (0,2,2) (0,1,4) (0,2,8) (0,1,16) (0,2,32) (0,1,15) (0,2,30)"
294,C2+C3+C7+C7,7,8,TIMEOUT,,search,,>600,
295,C5+C59,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (3,8) (1,16) (2,32) (4,5) (3,10)"
296,C8+C37,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (0,8) (0,16) (0,32) (0,27) (0,17)"
296,C2+C4+C37,8,8,8,9,pinned,0,0.00,"(0,1,1) (0,2,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (0,0,27) (1,0,0)"
296,C2+C2+C2+C37,8,8,8,9,pinned,0,0.00,"(1,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8) (0,0,0,16) (0,0,0,32) (0,1,0,0) (0,0,1,0)"
297,C11+C27,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (5,16) (10,5) (9,10) (7,20)"
297,C3+C9+C11,8,8,8,9,pinned,0,0.00,"(0,1,0) (0,2,0) (0,4,0) (1,0,1) (2,0,2) (1,0,4) (2,0,8) (1,0,5)"
297,C3+C3+C3+C11,7,8,TIMEOUT,,search,,>600,
298,C2+C149,8,8,8,9,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64) (0,128)"
299,C13+C23,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (3,16) (6,9) (12,18) (11,13)"
300,C3+C4+C25,8,8,8,9,pinned,0,0.00,"(1,1,1) (2,2,2) (1,0,4) (2,0,8) (1,0,16) (2,0,7) (1,0,14) (2,0,3)"
300,C3+C4+C5+C5,7,8,TIMEOUT,,search,,>600,
300,C2+C2+C3+C25,8,8,8,9,pinned,0,0.00,"(1,0,1,1) (0,0,2,2) (0,0,1,4) (0,0,2,8) (0,0,1,16) (0,0,2,7) (0,0,1,14) (0,1,0,0)"
300,C2+C2+C3+C5+C5,7,8,TIMEOUT,,search,,>600,
301,C7+C43,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (1,8) (2,16) (4,32) (1,21) (2,42)"
302,C2+C151,8,8,8,9,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64) (0,128)"
303,C3+C101,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,8) (1,16) (2,32) (1,64) (2,27)"
304,C16+C19,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (0,16) (0,13) (0,7) (0,14)"
