graph6	class	class_sizes
S??????_E?F?L?[?GQCE?Ao?Cg?X??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCE?Ag?DG?X??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQCE?Ag?Cg?Y??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?W_?q?H_?J?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?W_?Y?H_?M?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?S_@Q?K_?F?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@a?K_?F?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@a?D_?R?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@Q?K_?F?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@Q?E_?T?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_?q?E_?X?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_?q?D_?X?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@I?M?CB??F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@I?L?CD??F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@I?F??R?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@I?K_CE??F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@I?I_?M?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@I?E_?U?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_@I?D_?U?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_?i?F??X?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_?i?E_?Y?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_?Y?F??X?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?Q_?Y?D_?[?CD??	E	[13, 13, 12, 12]
