n,a_max,num_anomalous_a,floor_1e9_rho
1221,599,0,986525688
1222,599,0,988019553
1223,600,0,986447133
1224,600,0,988003732
1225,600,0,986430652
1226,601,0,987986647
1227,601,0,986478569
1228,602,0,987968305
1229,602,0,986525025
1230,603,0,987948716
1231,603,0,986570028
1232,604,0,987927887
1233,604,0,986613587
1234,605,0,987905828
1235,605,0,986655712
1236,606,0,987882545
1237,606,0,986696411
1238,607,0,987858047
1239,607,0,986735693
1240,608,0,987832343
1241,608,0,986773567
1242,609,0,987805439
1243,609,0,986810042
1244,610,0,987777345
1245,610,0,986845126
1246,611,0,987748068
1247,611,0,986878828
1248,612,0,987717615
1249,612,0,986911156
1250,613,0,987685995
1251,613,0,986942119
1252,614,0,987653215
1253,614,0,986971725
1254,615,0,987619284
1255,615,0,986999983
1256,616,0,987584207
1257,616,0,987026901
1258,617,0,987547995
1259,617,0,987052488
1260,618,0,987510652
1261,618,0,987076750
1262,619,0,987472189
1263,619,0,987099698
1264,620,0,987432610
1265,620,0,987121338
1266,621,0,987391925
1267,621,0,987141679
1268,622,0,987350140
1269,622,0,987160728
1270,623,0,987307263
1271,623,0,987178495
1272,624,0,987263300
1273,624,0,987194986
1274,625,0,987218260
1275,625,0,987210210
1276,626,0,987172148
1277,626,0,987224173
1278,627,0,987124973
1279,627,0,987236885
1280,628,0,987076742
1281,628,0,987248353
1282,629,0,987027460
1283,629,0,987258584
1284,630,0,986977136
1285,630,0,987267586
1286,631,0,986925776
1287,631,0,987275367
1288,632,0,986873386
1289,632,0,987281934
1290,633,0,986819975
1291,633,0,987287294
1292,634,0,986765548
1293,634,0,987291456
1294,635,0,986710113
1295,635,0,987294425
1296,636,0,986653675
1297,636,0,987296211
1298,637,0,986596242
1299,637,0,987296819
1300,638,0,986537820
1301,638,0,987296257
1302,639,0,986478416
1303,639,0,987294533
1304,640,0,986418036
1305,640,0,987291653
1306,641,0,986356687
1307,641,0,987287625
1308,642,0,986294374
1309,642,0,987282455
1310,643,0,986231106
