cube,status,seconds,conflicts,proof_sha256,note
-37.31.43.-33.-41.-34.-40.29,UNSAT,0.02,895,9a0c6d622fc3a604a528bddd23083a00aebeba09a7c4568b708c32b1bfac5852,45618
-37.31.43.-33.-41.-34.40.29,UNSAT,0.05,1530,443d07d467fa3c5034f043679d1f0a8b590972b9b5d4692f5ab10aa0e1d4fdb7,82633
-37.31.43.-33.-41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.-43.33.41.34.40.-29,INDET,0.05,,,
-37.31.-43.33.41.34.40.-29,SPLIT,0.05,,,->16 kids
-37.31.-43.33.41.34.-40.29,UNSAT,0.03,1195,56a11b50e4f3c7e61472c0889f8ebf1dc7b8b7ae39929c00f6e8861b6ded9385,54575
-37.31.-43.33.41.34.-40.-29,UNSAT,0.03,994,a18e99a17d75fefc3a0c757a13d7715e2827f51cb82e4329b46eaf798ca8b32d,47215
-37.31.-43.33.41.34.40.29,UNSAT,0.15,4298,4575f417a7c73c51e5c1fe2f48acbac8d9061e4b00a972f970ab1114270a17d8,273814
-37.31.-43.33.41.-34.40.-29,UNSAT,0.02,1698,6570c7ff68dcb375f467073a750bfe8baf48cc9fe4da5ad5894dbd0ff879be9e,80123
-37.31.-43.33.41.-34.-40.29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.-43.33.41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.-43.33.41.-34.40.29,UNSAT,0.14,3949,3e75c5700cb42d081e264aac70e51067c9aaf95c5398875c7a98489bdd94f2ee,240994
-37.31.-43.33.-41.34.40.-29,UNSAT,0.01,871,8862c77cc2e87b8151c8a83e4b02d4176294117528b2904d55ebf19872ae0176,42006
-37.31.-43.33.-41.34.40.29,UNSAT,0.04,1348,b41725ba0e627fd66095bfcc0074c87ef52b739e1f1a1d5afd289ee6559c7b93,62145
-37.31.-43.33.-41.34.-40.29,UNSAT,0.01,692,75a11653b7e7324f2109a1f62cb78cc9e2d67c67df9511cac8bacdfe55a317be,35891
-37.31.-43.33.-41.34.-40.-29,UNSAT,0.02,388,6790ba1429c1426283e882329a181ddd0bd36fc5e8dd7d383882cd520b267f8f,26136
-37.31.-43.33.-41.-34.40.-29,UNSAT,0.01,567,2b08d92704689339c0e44c1caabf35d757ade4e10e850729f1e4a1308e1991da,30122
-37.31.-43.33.-41.-34.-40.29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.-43.33.-41.-34.40.29,UNSAT,0.02,1276,e9d325060e99538b22f879026da9eec911f3400ec045e89d907119b18c0f746a,62658
-37.31.-43.33.-41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
